date_key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
19960313,3/13/1996,3,13,73,Wednesday,Wed,Y,11,11,3/11/1996,19960311,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960314,3/14/1996,4,14,74,Thursday,Thu,Y,11,11,3/11/1996,19960311,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960315,3/15/1996,5,15,75,Friday,Fri,Y,11,11,3/11/1996,19960311,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960316,3/16/1996,6,16,76,Saturday,Sat,N,11,11,3/11/1996,19960311,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960317,3/17/1996,7,17,77,Sunday,Sun,N,11,11,3/11/1996,19960311,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960318,3/18/1996,1,18,78,Monday,Mon,Y,12,12,3/18/1996,19960318,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960319,3/19/1996,2,19,79,Tuesday,Tue,Y,12,12,3/18/1996,19960318,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960320,3/20/1996,3,20,80,Wednesday,Wed,Y,12,12,3/18/1996,19960318,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960321,3/21/1996,4,21,81,Thursday,Thu,Y,12,12,3/18/1996,19960318,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960322,3/22/1996,5,22,82,Friday,Fri,Y,12,12,3/18/1996,19960318,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960323,3/23/1996,6,23,83,Saturday,Sat,N,12,12,3/18/1996,19960318,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960324,3/24/1996,7,24,84,Sunday,Sun,N,12,12,3/18/1996,19960318,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960325,3/25/1996,1,25,85,Monday,Mon,Y,13,13,3/25/1996,19960325,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960326,3/26/1996,2,26,86,Tuesday,Tue,Y,13,13,3/25/1996,19960325,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960327,3/27/1996,3,27,87,Wednesday,Wed,Y,13,13,3/25/1996,19960325,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960328,3/28/1996,4,28,88,Thursday,Thu,Y,13,13,3/25/1996,19960325,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960329,3/29/1996,5,29,89,Friday,Fri,Y,13,13,3/25/1996,19960325,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960330,3/30/1996,6,30,90,Saturday,Sat,N,13,13,3/25/1996,19960325,3,3,March,Mar,1,1996,199603,9,3,1996,N
19960331,3/31/1996,7,31,91,Sunday,Sun,N,13,13,3/25/1996,19960325,3,3,March,Mar,1,1996,199603,9,3,1996,Y
19960401,4/1/1996,1,1,92,Monday,Mon,Y,14,14,4/1/1996,19960401,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960402,4/2/1996,2,2,93,Tuesday,Tue,Y,14,14,4/1/1996,19960401,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960403,4/3/1996,3,3,94,Wednesday,Wed,Y,14,14,4/1/1996,19960401,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960404,4/4/1996,4,4,95,Thursday,Thu,Y,14,14,4/1/1996,19960401,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960405,4/5/1996,5,5,96,Friday,Fri,Y,14,14,4/1/1996,19960401,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960406,4/6/1996,6,6,97,Saturday,Sat,N,14,14,4/1/1996,19960401,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960407,4/7/1996,7,7,98,Sunday,Sun,N,14,14,4/1/1996,19960401,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960408,4/8/1996,1,8,99,Monday,Mon,Y,15,15,4/8/1996,19960408,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960409,4/9/1996,2,9,100,Tuesday,Tue,Y,15,15,4/8/1996,19960408,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960410,4/10/1996,3,10,101,Wednesday,Wed,Y,15,15,4/8/1996,19960408,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960411,4/11/1996,4,11,102,Thursday,Thu,Y,15,15,4/8/1996,19960408,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960412,4/12/1996,5,12,103,Friday,Fri,Y,15,15,4/8/1996,19960408,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960413,4/13/1996,6,13,104,Saturday,Sat,N,15,15,4/8/1996,19960408,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960414,4/14/1996,7,14,105,Sunday,Sun,N,15,15,4/8/1996,19960408,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960415,4/15/1996,1,15,106,Monday,Mon,Y,16,16,4/15/1996,19960415,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960416,4/16/1996,2,16,107,Tuesday,Tue,Y,16,16,4/15/1996,19960415,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960417,4/17/1996,3,17,108,Wednesday,Wed,Y,16,16,4/15/1996,19960415,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960418,4/18/1996,4,18,109,Thursday,Thu,Y,16,16,4/15/1996,19960415,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960419,4/19/1996,5,19,110,Friday,Fri,Y,16,16,4/15/1996,19960415,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960420,4/20/1996,6,20,111,Saturday,Sat,N,16,16,4/15/1996,19960415,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960421,4/21/1996,7,21,112,Sunday,Sun,N,16,16,4/15/1996,19960415,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960422,4/22/1996,1,22,113,Monday,Mon,Y,17,17,4/22/1996,19960422,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960423,4/23/1996,2,23,114,Tuesday,Tue,Y,17,17,4/22/1996,19960422,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960424,4/24/1996,3,24,115,Wednesday,Wed,Y,17,17,4/22/1996,19960422,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960425,4/25/1996,4,25,116,Thursday,Thu,Y,17,17,4/22/1996,19960422,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960426,4/26/1996,5,26,117,Friday,Fri,Y,17,17,4/22/1996,19960422,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960427,4/27/1996,6,27,118,Saturday,Sat,N,17,17,4/22/1996,19960422,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960428,4/28/1996,7,28,119,Sunday,Sun,N,17,17,4/22/1996,19960422,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960429,4/29/1996,1,29,120,Monday,Mon,Y,18,18,4/29/1996,19960429,4,4,April,Apr,2,1996,199604,10,4,1996,N
19960430,4/30/1996,2,30,121,Tuesday,Tue,Y,18,18,4/29/1996,19960429,4,4,April,Apr,2,1996,199604,10,4,1996,Y
19960501,5/1/1996,3,1,122,Wednesday,Wed,Y,18,18,4/29/1996,19960429,5,5,May,May,2,1996,199605,11,4,1996,N
19960502,5/2/1996,4,2,123,Thursday,Thu,Y,18,18,4/29/1996,19960429,5,5,May,May,2,1996,199605,11,4,1996,N
19960503,5/3/1996,5,3,124,Friday,Fri,Y,18,18,4/29/1996,19960429,5,5,May,May,2,1996,199605,11,4,1996,N
19960504,5/4/1996,6,4,125,Saturday,Sat,N,18,18,4/29/1996,19960429,5,5,May,May,2,1996,199605,11,4,1996,N
19960505,5/5/1996,7,5,126,Sunday,Sun,N,18,18,4/29/1996,19960429,5,5,May,May,2,1996,199605,11,4,1996,N
19960506,5/6/1996,1,6,127,Monday,Mon,Y,19,19,5/6/1996,19960506,5,5,May,May,2,1996,199605,11,4,1996,N
19960507,5/7/1996,2,7,128,Tuesday,Tue,Y,19,19,5/6/1996,19960506,5,5,May,May,2,1996,199605,11,4,1996,N
19960508,5/8/1996,3,8,129,Wednesday,Wed,Y,19,19,5/6/1996,19960506,5,5,May,May,2,1996,199605,11,4,1996,N
19960509,5/9/1996,4,9,130,Thursday,Thu,Y,19,19,5/6/1996,19960506,5,5,May,May,2,1996,199605,11,4,1996,N
19960510,5/10/1996,5,10,131,Friday,Fri,Y,19,19,5/6/1996,19960506,5,5,May,May,2,1996,199605,11,4,1996,N
19960511,5/11/1996,6,11,132,Saturday,Sat,N,19,19,5/6/1996,19960506,5,5,May,May,2,1996,199605,11,4,1996,N
19960512,5/12/1996,7,12,133,Sunday,Sun,N,19,19,5/6/1996,19960506,5,5,May,May,2,1996,199605,11,4,1996,N
19960513,5/13/1996,1,13,134,Monday,Mon,Y,20,20,5/13/1996,19960513,5,5,May,May,2,1996,199605,11,4,1996,N
19960514,5/14/1996,2,14,135,Tuesday,Tue,Y,20,20,5/13/1996,19960513,5,5,May,May,2,1996,199605,11,4,1996,N
19960515,5/15/1996,3,15,136,Wednesday,Wed,Y,20,20,5/13/1996,19960513,5,5,May,May,2,1996,199605,11,4,1996,N
19960516,5/16/1996,4,16,137,Thursday,Thu,Y,20,20,5/13/1996,19960513,5,5,May,May,2,1996,199605,11,4,1996,N
19960517,5/17/1996,5,17,138,Friday,Fri,Y,20,20,5/13/1996,19960513,5,5,May,May,2,1996,199605,11,4,1996,N
19960518,5/18/1996,6,18,139,Saturday,Sat,N,20,20,5/13/1996,19960513,5,5,May,May,2,1996,199605,11,4,1996,N
19960519,5/19/1996,7,19,140,Sunday,Sun,N,20,20,5/13/1996,19960513,5,5,May,May,2,1996,199605,11,4,1996,N
19960520,5/20/1996,1,20,141,Monday,Mon,Y,21,21,5/20/1996,19960520,5,5,May,May,2,1996,199605,11,4,1996,N
19960521,5/21/1996,2,21,142,Tuesday,Tue,Y,21,21,5/20/1996,19960520,5,5,May,May,2,1996,199605,11,4,1996,N
19960522,5/22/1996,3,22,143,Wednesday,Wed,Y,21,21,5/20/1996,19960520,5,5,May,May,2,1996,199605,11,4,1996,N
19960523,5/23/1996,4,23,144,Thursday,Thu,Y,21,21,5/20/1996,19960520,5,5,May,May,2,1996,199605,11,4,1996,N
19960524,5/24/1996,5,24,145,Friday,Fri,Y,21,21,5/20/1996,19960520,5,5,May,May,2,1996,199605,11,4,1996,N
19960525,5/25/1996,6,25,146,Saturday,Sat,N,21,21,5/20/1996,19960520,5,5,May,May,2,1996,199605,11,4,1996,N
19960526,5/26/1996,7,26,147,Sunday,Sun,N,21,21,5/20/1996,19960520,5,5,May,May,2,1996,199605,11,4,1996,N
19960527,5/27/1996,1,27,148,Monday,Mon,Y,22,22,5/27/1996,19960527,5,5,May,May,2,1996,199605,11,4,1996,N
19960528,5/28/1996,2,28,149,Tuesday,Tue,Y,22,22,5/27/1996,19960527,5,5,May,May,2,1996,199605,11,4,1996,N
19960529,5/29/1996,3,29,150,Wednesday,Wed,Y,22,22,5/27/1996,19960527,5,5,May,May,2,1996,199605,11,4,1996,N
19960530,5/30/1996,4,30,151,Thursday,Thu,Y,22,22,5/27/1996,19960527,5,5,May,May,2,1996,199605,11,4,1996,N
19960531,5/31/1996,5,31,152,Friday,Fri,Y,22,22,5/27/1996,19960527,5,5,May,May,2,1996,199605,11,4,1996,Y
19960601,6/1/1996,6,1,153,Saturday,Sat,N,22,22,5/27/1996,19960527,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960602,6/2/1996,7,2,154,Sunday,Sun,N,22,22,5/27/1996,19960527,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960603,6/3/1996,1,3,155,Monday,Mon,Y,23,23,6/3/1996,19960603,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960604,6/4/1996,2,4,156,Tuesday,Tue,Y,23,23,6/3/1996,19960603,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960605,6/5/1996,3,5,157,Wednesday,Wed,Y,23,23,6/3/1996,19960603,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960606,6/6/1996,4,6,158,Thursday,Thu,Y,23,23,6/3/1996,19960603,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960607,6/7/1996,5,7,159,Friday,Fri,Y,23,23,6/3/1996,19960603,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960608,6/8/1996,6,8,160,Saturday,Sat,N,23,23,6/3/1996,19960603,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960609,6/9/1996,7,9,161,Sunday,Sun,N,23,23,6/3/1996,19960603,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960610,6/10/1996,1,10,162,Monday,Mon,Y,24,24,6/10/1996,19960610,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960611,6/11/1996,2,11,163,Tuesday,Tue,Y,24,24,6/10/1996,19960610,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960612,6/12/1996,3,12,164,Wednesday,Wed,Y,24,24,6/10/1996,19960610,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960613,6/13/1996,4,13,165,Thursday,Thu,Y,24,24,6/10/1996,19960610,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960614,6/14/1996,5,14,166,Friday,Fri,Y,24,24,6/10/1996,19960610,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960615,6/15/1996,6,15,167,Saturday,Sat,N,24,24,6/10/1996,19960610,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960616,6/16/1996,7,16,168,Sunday,Sun,N,24,24,6/10/1996,19960610,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960617,6/17/1996,1,17,169,Monday,Mon,Y,25,25,6/17/1996,19960617,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960618,6/18/1996,2,18,170,Tuesday,Tue,Y,25,25,6/17/1996,19960617,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960619,6/19/1996,3,19,171,Wednesday,Wed,Y,25,25,6/17/1996,19960617,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960620,6/20/1996,4,20,172,Thursday,Thu,Y,25,25,6/17/1996,19960617,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960621,6/21/1996,5,21,173,Friday,Fri,Y,25,25,6/17/1996,19960617,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960622,6/22/1996,6,22,174,Saturday,Sat,N,25,25,6/17/1996,19960617,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960623,6/23/1996,7,23,175,Sunday,Sun,N,25,25,6/17/1996,19960617,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960624,6/24/1996,1,24,176,Monday,Mon,Y,26,26,6/24/1996,19960624,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960625,6/25/1996,2,25,177,Tuesday,Tue,Y,26,26,6/24/1996,19960624,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960626,6/26/1996,3,26,178,Wednesday,Wed,Y,26,26,6/24/1996,19960624,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960627,6/27/1996,4,27,179,Thursday,Thu,Y,26,26,6/24/1996,19960624,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960628,6/28/1996,5,28,180,Friday,Fri,Y,26,26,6/24/1996,19960624,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960629,6/29/1996,6,29,181,Saturday,Sat,N,26,26,6/24/1996,19960624,6,6,June,Jun,2,1996,199606,12,4,1996,N
19960630,6/30/1996,7,30,182,Sunday,Sun,N,26,26,6/24/1996,19960624,6,6,June,Jun,2,1996,199606,12,4,1996,Y
19960701,7/1/1996,1,1,183,Monday,Mon,Y,27,27,7/1/1996,19960701,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960702,7/2/1996,2,2,184,Tuesday,Tue,Y,27,27,7/1/1996,19960701,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960703,7/3/1996,3,3,185,Wednesday,Wed,Y,27,27,7/1/1996,19960701,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960704,7/4/1996,4,4,186,Thursday,Thu,Y,27,27,7/1/1996,19960701,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960705,7/5/1996,5,5,187,Friday,Fri,Y,27,27,7/1/1996,19960701,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960706,7/6/1996,6,6,188,Saturday,Sat,N,27,27,7/1/1996,19960701,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960707,7/7/1996,7,7,189,Sunday,Sun,N,27,27,7/1/1996,19960701,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960708,7/8/1996,1,8,190,Monday,Mon,Y,28,28,7/8/1996,19960708,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960709,7/9/1996,2,9,191,Tuesday,Tue,Y,28,28,7/8/1996,19960708,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960710,7/10/1996,3,10,192,Wednesday,Wed,Y,28,28,7/8/1996,19960708,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960711,7/11/1996,4,11,193,Thursday,Thu,Y,28,28,7/8/1996,19960708,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960712,7/12/1996,5,12,194,Friday,Fri,Y,28,28,7/8/1996,19960708,7,7,July,Jul,3,1996,199607,1,1,1997,N
19960713,7/13/1996,6,13,195,Saturday,Sat,N,28,28,7/8/1996,19960708,7,7,July,Jul,3,1996,199607,1,1,1997,N
