inventory_key,inventory_id,title,description,release_year,language,rental_duration,rental_rate,length,replacement_cost,rating,special_features,catalogy name
50,51,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006.0,English             ,6,4.99,63.0,24.99,NC-17,"{Trailers,""Deleted Scenes""}",Sports
51,52,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006.0,English             ,6,4.99,63.0,24.99,NC-17,"{Trailers,""Deleted Scenes""}",Sports
52,53,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006.0,English             ,6,0.99,126.0,16.99,G,"{Commentaries,""Behind the Scenes""}",Foreign
53,54,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006.0,English             ,6,0.99,126.0,16.99,G,"{Commentaries,""Behind the Scenes""}",Foreign
54,55,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006.0,English             ,6,0.99,126.0,16.99,G,"{Commentaries,""Behind the Scenes""}",Foreign
55,56,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006.0,English             ,6,0.99,126.0,16.99,G,"{Commentaries,""Behind the Scenes""}",Foreign
56,57,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006.0,English             ,6,0.99,126.0,16.99,G,"{Commentaries,""Behind the Scenes""}",Foreign
57,58,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006.0,English             ,6,0.99,126.0,16.99,G,"{Commentaries,""Behind the Scenes""}",Foreign
58,59,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006.0,English             ,6,0.99,126.0,16.99,G,"{Commentaries,""Behind the Scenes""}",Foreign
59,60,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006.0,English             ,6,0.99,136.0,22.99,PG,"{Commentaries,""Deleted Scenes""}",Music
60,61,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006.0,English             ,6,0.99,136.0,22.99,PG,"{Commentaries,""Deleted Scenes""}",Music
61,62,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006.0,English             ,6,0.99,136.0,22.99,PG,"{Commentaries,""Deleted Scenes""}",Music
62,63,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006.0,English             ,6,0.99,136.0,22.99,PG,"{Commentaries,""Deleted Scenes""}",Music
63,64,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006.0,English             ,6,0.99,136.0,22.99,PG,"{Commentaries,""Deleted Scenes""}",Music
64,65,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006.0,English             ,6,0.99,136.0,22.99,PG,"{Commentaries,""Deleted Scenes""}",Music
65,66,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006.0,English             ,6,0.99,136.0,22.99,PG,"{Commentaries,""Deleted Scenes""}",Music
66,955,DATE SPEED,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,2006.0,English             ,4,0.99,104.0,19.99,R,{Commentaries},Family
67,956,DATE SPEED,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,2006.0,English             ,4,0.99,104.0,19.99,R,{Commentaries},Family
68,957,DATE SPEED,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,2006.0,English             ,4,0.99,104.0,19.99,R,{Commentaries},Family
69,958,DATE SPEED,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,2006.0,English             ,4,0.99,104.0,19.99,R,{Commentaries},Family
70,67,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006.0,English             ,4,4.99,150.0,21.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Horror
71,68,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006.0,English             ,4,4.99,150.0,21.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Horror
72,69,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006.0,English             ,4,4.99,150.0,21.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Horror
73,70,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006.0,English             ,4,4.99,150.0,21.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Horror
74,71,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006.0,English             ,5,2.99,46.0,10.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Foreign
75,72,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006.0,English             ,5,2.99,46.0,10.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Foreign
76,73,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006.0,English             ,5,2.99,46.0,10.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Foreign
77,74,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006.0,English             ,5,2.99,46.0,10.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Foreign
78,75,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006.0,English             ,5,2.99,46.0,10.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Foreign
79,76,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006.0,English             ,5,2.99,46.0,10.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Foreign
80,77,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006.0,English             ,6,2.99,180.0,23.99,NC-17,"{Trailers,Commentaries}",Foreign
81,78,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006.0,English             ,6,2.99,180.0,23.99,NC-17,"{Trailers,Commentaries}",Foreign
82,79,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006.0,English             ,6,2.99,180.0,23.99,NC-17,"{Trailers,Commentaries}",Foreign
83,80,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006.0,English             ,6,2.99,180.0,23.99,NC-17,"{Trailers,Commentaries}",Foreign
84,81,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006.0,English             ,3,0.99,82.0,14.99,R,"{Trailers,""Behind the Scenes""}",Music
85,82,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006.0,English             ,3,0.99,82.0,14.99,R,"{Trailers,""Behind the Scenes""}",Music
86,83,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006.0,English             ,3,0.99,82.0,14.99,R,"{Trailers,""Behind the Scenes""}",Music
87,84,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006.0,English             ,3,0.99,82.0,14.99,R,"{Trailers,""Behind the Scenes""}",Music
88,85,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006.0,English             ,3,0.99,82.0,14.99,R,"{Trailers,""Behind the Scenes""}",Music
89,86,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006.0,English             ,3,0.99,82.0,14.99,R,"{Trailers,""Behind the Scenes""}",Music
90,87,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006.0,English             ,6,0.99,57.0,27.99,PG-13,"{Trailers,""Behind the Scenes""}",Animation
91,88,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006.0,English             ,6,0.99,57.0,27.99,PG-13,"{Trailers,""Behind the Scenes""}",Animation
92,89,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006.0,English             ,6,0.99,57.0,27.99,PG-13,"{Trailers,""Behind the Scenes""}",Animation
93,90,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006.0,English             ,6,0.99,57.0,27.99,PG-13,"{Trailers,""Behind the Scenes""}",Animation
94,91,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006.0,English             ,6,0.99,57.0,27.99,PG-13,"{Trailers,""Behind the Scenes""}",Animation
95,92,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006.0,English             ,6,0.99,57.0,27.99,PG-13,"{Trailers,""Behind the Scenes""}",Animation
96,93,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006.0,English             ,6,0.99,113.0,20.99,PG,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Action
97,94,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006.0,English             ,6,0.99,113.0,20.99,PG,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Action
98,95,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006.0,English             ,6,0.99,113.0,20.99,PG,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Action
99,96,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006.0,English             ,6,0.99,113.0,20.99,PG,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Action
100,97,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006.0,English             ,6,0.99,113.0,20.99,PG,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Action
101,98,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006.0,English             ,6,0.99,113.0,20.99,PG,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Action
102,99,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,2006.0,English             ,4,4.99,79.0,23.99,R,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Music
103,100,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,2006.0,English             ,4,4.99,79.0,23.99,R,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Music
104,101,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,2006.0,English             ,4,4.99,79.0,23.99,R,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Music
105,102,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006.0,English             ,3,4.99,129.0,17.99,R,"{Commentaries,""Behind the Scenes""}",Action
106,103,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006.0,English             ,3,4.99,129.0,17.99,R,"{Commentaries,""Behind the Scenes""}",Action
107,104,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006.0,English             ,3,4.99,129.0,17.99,R,"{Commentaries,""Behind the Scenes""}",Action
108,105,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006.0,English             ,3,4.99,129.0,17.99,R,"{Commentaries,""Behind the Scenes""}",Action
109,106,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006.0,English             ,3,4.99,129.0,17.99,R,"{Commentaries,""Behind the Scenes""}",Action
110,107,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006.0,English             ,3,4.99,129.0,17.99,R,"{Commentaries,""Behind the Scenes""}",Action
111,108,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006.0,English             ,6,2.99,85.0,10.99,G,"{Commentaries,""Behind the Scenes""}",New
112,109,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006.0,English             ,6,2.99,85.0,10.99,G,"{Commentaries,""Behind the Scenes""}",New
113,110,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006.0,English             ,6,2.99,85.0,10.99,G,"{Commentaries,""Behind the Scenes""}",New
114,111,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006.0,English             ,6,2.99,85.0,10.99,G,"{Commentaries,""Behind the Scenes""}",New
115,112,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006.0,English             ,6,2.99,85.0,10.99,G,"{Commentaries,""Behind the Scenes""}",New
116,113,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006.0,English             ,6,2.99,85.0,10.99,G,"{Commentaries,""Behind the Scenes""}",New
117,114,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006.0,English             ,6,2.99,85.0,10.99,G,"{Commentaries,""Behind the Scenes""}",New
118,115,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006.0,English             ,3,0.99,92.0,9.99,R,"{Trailers,""Deleted Scenes""}",Animation
119,116,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006.0,English             ,3,0.99,92.0,9.99,R,"{Trailers,""Deleted Scenes""}",Animation
120,117,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006.0,English             ,3,0.99,92.0,9.99,R,"{Trailers,""Deleted Scenes""}",Animation
121,118,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006.0,English             ,3,0.99,92.0,9.99,R,"{Trailers,""Deleted Scenes""}",Animation
122,119,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006.0,English             ,3,0.99,92.0,9.99,R,"{Trailers,""Deleted Scenes""}",Animation
123,120,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006.0,English             ,6,2.99,181.0,19.99,R,"{Trailers,""Behind the Scenes""}",Horror
124,121,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006.0,English             ,6,2.99,181.0,19.99,R,"{Trailers,""Behind the Scenes""}",Horror
125,122,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006.0,English             ,6,2.99,181.0,19.99,R,"{Trailers,""Behind the Scenes""}",Horror
126,123,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006.0,English             ,6,2.99,181.0,19.99,R,"{Trailers,""Behind the Scenes""}",Horror
127,124,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006.0,English             ,3,2.99,74.0,15.99,G,{Trailers},New
128,125,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006.0,English             ,3,2.99,74.0,15.99,G,{Trailers},New
129,126,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006.0,English             ,3,2.99,74.0,15.99,G,{Trailers},New
