ID thanh toán,ID khách hàng,ID nhân viên,ID thuê,S? ti?n,Ngày thanh toán
16110,297,1,954,3.99,1/30/2007
16111,298,1,383,3.99,1/27/2007
16112,299,1,332,5.99,1/27/2007
16113,299,2,606,8.99,1/28/2007
16114,300,2,457,0.99,1/27/2007
16115,300,1,780,3.99,1/29/2007
16116,300,1,1111,4.99,1/31/2007
16117,301,2,27,4.99,1/25/2007
16118,301,2,227,5.99,1/26/2007
16119,301,1,955,0.99,1/30/2007
16120,302,2,38,4.99,1/25/2007
16121,302,2,92,5.99,1/25/2007
16122,303,1,265,0.99,1/26/2007
16123,303,1,871,2.99,1/30/2007
16124,303,2,1050,4.99,1/31/2007
16125,304,1,135,10.99,1/25/2007
16126,304,1,415,0.99,1/27/2007
16127,304,2,937,2.99,1/30/2007
16128,305,2,69,2.99,1/25/2007
16129,306,2,375,3.99,1/27/2007
16130,306,2,672,6.99,1/28/2007
16131,307,2,413,4.99,1/27/2007
16132,307,1,535,4.99,1/28/2007
16133,307,1,614,1.99,1/28/2007
16134,307,1,970,6.99,1/30/2007
16135,308,2,589,3.99,1/28/2007
16136,309,2,218,6.99,1/26/2007
16137,309,2,723,0.99,1/29/2007
16138,310,2,104,0.99,1/25/2007
16139,311,2,274,5.99,1/26/2007
16140,311,2,544,6.99,1/28/2007
16141,311,1,952,2.99,1/30/2007
16142,311,2,990,3.99,1/30/2007
16143,311,2,1128,6.99,1/31/2007
16144,312,2,229,4.99,1/26/2007
16145,312,1,530,0.99,1/28/2007
16146,312,2,1049,4.99,1/31/2007
16147,312,2,1079,6.99,1/31/2007
16148,313,2,669,4.99,1/28/2007
16149,313,2,712,2.99,1/29/2007
16150,313,2,781,0.99,1/29/2007
16151,313,2,843,0.99,1/29/2007
16152,314,1,80,5.99,1/25/2007
16153,314,1,440,4.99,1/27/2007
16154,315,1,537,8.99,1/28/2007
16155,315,1,551,4.99,1/28/2007
16156,316,1,16,4.99,1/24/2007
16157,316,1,644,8.99,1/28/2007
16158,316,1,1065,1.99,1/31/2007
16159,317,1,107,6.99,1/25/2007
16160,318,1,224,9.99,1/26/2007
16161,319,1,15,9.99,1/24/2007
16162,319,1,149,3.99,1/25/2007
16163,319,1,439,2.99,1/27/2007
16164,321,2,200,4.99,1/26/2007
16165,321,1,620,5.99,1/28/2007
16166,321,2,818,4.99,1/29/2007
16167,322,2,166,0.99,1/26/2007
16168,322,1,269,4.99,1/26/2007
16169,323,1,58,4.99,1/25/2007
16170,323,2,729,2.99,1/29/2007
16171,323,1,878,5.99,1/30/2007
16172,324,2,563,3.99,1/28/2007
16173,325,1,131,5.99,1/25/2007
16174,326,1,875,6.99,1/30/2007
16175,326,2,981,4.99,1/30/2007
16176,326,2,1149,3.99,1/31/2007
16177,327,1,653,6.99,1/28/2007
16178,328,2,862,2.99,1/30/2007
16179,330,1,704,3.99,1/29/2007
16180,330,2,967,7.99,1/30/2007
16181,331,2,87,0.99,1/25/2007
16182,331,1,996,2.99,1/30/2007
16183,332,2,600,3.99,1/28/2007
16184,332,1,1000,6.99,1/30/2007
16185,333,1,4,4.99,1/24/2007
16186,334,1,13,6.99,1/24/2007
16187,334,1,431,8.99,1/27/2007
16188,337,1,374,6.99,1/27/2007
16189,337,1,572,4.99,1/28/2007
16190,337,1,839,8.99,1/29/2007
16191,338,1,675,0.99,1/28/2007
16192,339,1,876,5.99,1/30/2007
16193,343,2,102,3.99,1/25/2007
16194,343,1,455,3.99,1/27/2007
16195,344,2,157,2.99,1/25/2007
16196,344,2,813,5.99,1/29/2007
16197,345,1,206,0.99,1/26/2007
16198,345,1,363,0.99,1/27/2007
16199,346,1,65,4.99,1/25/2007
16200,346,1,810,4.99,1/29/2007
16201,348,2,153,0.99,1/25/2007
16202,348,2,821,0.99,1/29/2007
16203,349,1,890,4.99,1/30/2007
16204,350,1,24,4.99,1/25/2007
16205,350,1,802,4.99,1/29/2007
16206,351,1,1137,1.99,1/31/2007
16207,352,1,784,2.99,1/29/2007
16208,353,2,1103,6.99,1/31/2007
16209,354,1,140,0.99,1/25/2007
16210,354,2,158,1.99,1/25/2007
16211,354,2,402,0.99,1/27/2007
16212,355,1,1110,3.99,1/31/2007
16213,356,2,1088,4.99,1/31/2007
16214,357,1,144,2.99,1/25/2007
16215,357,1,824,4.99,1/29/2007
16216,357,2,945,0.99,1/30/2007
16217,358,2,858,4.99,1/30/2007
16218,359,1,284,8.99,1/26/2007
16219,359,2,392,2.99,1/27/2007
16220,359,1,528,3.99,1/28/2007
16221,360,1,633,0.99,1/28/2007
16222,360,2,777,4.99,1/29/2007
16223,361,1,368,5.99,1/27/2007
16224,361,2,1120,4.99,1/31/2007
16225,362,2,1035,4.99,1/31/2007
16226,363,1,733,3.99,1/29/2007
16227,364,1,462,5.99,1/27/2007
16228,365,2,120,5.99,1/25/2007
16229,365,1,231,4.99,1/26/2007
16230,366,2,911,6.99,1/30/2007
16231,367,1,939,0.99,1/30/2007
16232,367,1,1089,2.99,1/31/2007
16233,368,1,64,5.99,1/25/2007
16234,368,1,125,5.99,1/25/2007
16235,368,1,836,2.99,1/29/2007
16236,368,1,949,2.99,1/30/2007
16237,369,1,31,4.99,1/25/2007
16238,369,1,294,4.99,1/26/2007
16239,369,2,854,0.99,1/30/2007
16240,369,2,913,7.99,1/30/2007
16241,371,1,26,3.99,1/25/2007
16242,371,2,286,6.99,1/26/2007
16243,371,2,381,4.99,1/27/2007
16244,371,1,384,5.99,1/27/2007
16245,371,1,825,0.99,1/29/2007
16246,371,1,829,2.99,1/29/2007
16247,372,1,617,2.99,1/28/2007
16248,372,1,638,2.99,1/28/2007
16249,373,2,257,4.99,1/26/2007
16250,374,1,521,0.99,1/28/2007
16251,374,2,910,2.99,1/30/2007
16252,374,2,919,0.99,1/30/2007
16253,375,2,307,8.99,1/26/2007
16254,375,1,412,4.99,1/27/2007
16255,375,2,749,4.99,1/29/2007
16256,375,1,873,2.99,1/30/2007
16257,376,1,554,0.99,1/28/2007
16258,378,1,347,0.99,1/27/2007
16259,379,2,209,4.99,1/26/2007
16260,379,1,863,4.99,1/30/2007
16261,380,1,847,3.99,1/29/2007
16262,381,2,169,0.99,1/26/2007
16263,381,2,406,2.99,1/27/2007
16264,381,1,835,2.99,1/29/2007
16265,382,2,356,2.99,1/27/2007
16266,382,1,522,2.99,1/28/2007
16267,383,2,63,0.99,1/25/2007
16268,383,1,766,8.99,1/29/2007
16269,384,2,103,4.99,1/25/2007
16270,384,2,279,2.99,1/26/2007
16271,384,1,898,0.99,1/30/2007
16272,384,2,1013,2.99,1/31/2007
16273,385,1,917,2.99,1/30/2007
16274,385,2,1038,4.99,1/31/2007
16275,386,1,583,7.99,1/28/2007
16276,387,2,302,4.99,1/26/2007
16277,387,1,697,7.99,1/29/2007
16278,387,1,841,4.99,1/29/2007
16279,387,1,1127,3.99,1/31/2007
16280,388,2,21,4.99,1/25/2007
16281,388,2,411,4.99,1/27/2007
16282,389,1,998,4.99,1/30/2007
16283,390,1,254,4.99,1/26/2007
16284,390,2,912,4.99,1/30/2007
16285,391,2,73,4.99,1/25/2007
16286,391,1,210,2.99,1/26/2007
16287,391,1,317,5.99,1/26/2007
16288,391,2,870,2.99,1/30/2007
16289,391,1,891,7.99,1/30/2007
16290,393,1,599,4.99,1/28/2007
16291,393,2,886,0.99,1/30/2007
16292,394,1,213,3.99,1/26/2007
16293,394,1,977,2.99,1/30/2007
16294,396,2,641,5.99,1/28/2007
16295,397,2,1002,0.99,1/30/2007
16296,398,1,486,4.99,1/27/2007
16297,399,2,10,5.99,1/24/2007
16298,399,2,694,6.99,1/29/2007
16299,399,2,883,4.99,1/30/2007
16300,400,1,95,3.99,1/25/2007
16301,400,2,171,6.99,1/26/2007
16302,400,2,516,1.99,1/28/2007
16303,400,2,894,5.99,1/30/2007
16304,401,2,167,4.99,1/26/2007
16305,401,2,446,4.99,1/27/2007
16306,401,2,811,1.99,1/29/2007
16307,402,2,801,1.99,1/29/2007
16308,403,1,442,2.99,1/27/2007
16309,403,1,517,0.99,1/28/2007
16310,404,2,1081,5.99,1/31/2007
16311,405,1,121,2.99,1/25/2007
16312,405,2,770,4.99,1/29/2007
16313,406,1,855,0.99,1/30/2007
16314,407,1,619,7.99,1/28/2007
16315,408,2,3,3.99,1/24/2007
16316,408,2,59,5.99,1/25/2007
16317,408,1,526,2.99,1/28/2007
16318,409,1,310,6.99,1/26/2007
16319,411,2,686,4.99,1/28/2007
16320,411,2,972,1.99,1/30/2007
16321,412,2,191,0.99,1/26/2007
16322,412,1,333,4.99,1/27/2007
16323,412,1,717,0.99,1/29/2007
16324,412,2,1043,3.99,1/31/2007
16325,413,1,40,4.99,1/25/2007
16326,413,1,999,4.99,1/30/2007
16327,414,1,85,4.99,1/25/2007
16328,414,1,261,3.99,1/26/2007
16329,415,2,665,4.99,1/28/2007
16330,416,2,253,0.99,1/26/2007
16331,416,2,724,3.99,1/29/2007
16332,416,2,1031,2.99,1/31/2007
16333,417,1,267,4.99,1/26/2007
16334,417,2,630,8.99,1/28/2007
16335,417,2,833,4.99,1/29/2007
16336,419,1,62,2.99,1/25/2007
16337,420,2,744,4.99,1/29/2007
16338,421,1,507,0.99,1/28/2007
16339,421,1,931,0.99,1/30/2007
16340,422,1,398,0.99,1/27/2007
16341,424,2,403,0.99,1/27/2007
16342,425,2,1098,5.99,1/31/2007
16343,426,2,604,0.99,1/28/2007
16344,427,2,82,6.99,1/25/2007
16345,428,2,634,4.99,1/28/2007
16346,429,2,150,5.99,1/25/2007
16347,429,2,290,2.99,1/26/2007
16348,429,2,601,7.99,1/28/2007
16349,429,2,799,4.99,1/29/2007
16350,429,2,844,4.99,1/29/2007
16351,430,2,30,2.99,1/25/2007
16352,430,1,364,4.99,1/27/2007
16353,431,2,1126,2.99,1/31/2007
16354,432,2,326,7.99,1/26/2007
16355,432,1,550,5.99,1/28/2007
16356,432,1,897,8.99,1/30/2007
16357,433,2,146,8.99,1/25/2007
16358,433,1,691,10.99,1/28/2007
16359,434,2,508,5.99,1/28/2007
16360,435,1,757,7.99,1/29/2007
16361,435,1,806,4.99,1/29/2007
16362,436,1,45,7.99,1/25/2007
16363,436,1,256,3.99,1/26/2007
16364,436,1,848,5.99,1/29/2007
16365,437,1,192,2.99,1/26/2007
16366,437,2,656,4.99,1/28/2007
16367,437,1,666,5.99,1/28/2007
16368,438,2,23,4.99,1/25/2007
16369,438,2,1036,0.99,1/31/2007
16370,438,1,1138,6.99,1/31/2007
16371,439,1,126,2.99,1/25/2007
16372,439,2,367,0.99,1/27/2007
16373,439,1,786,9.99,1/29/2007
16374,440,2,957,4.99,1/30/2007
16375,441,1,823,4.99,1/29/2007
16376,442,2,466,0.99,1/27/2007
16377,442,2,558,6.99,1/28/2007
16378,442,1,632,5.99,1/28/2007
16379,443,2,1068,4.99,1/31/2007
16380,444,1,201,8.99,1/26/2007
16381,444,1,557,0.99,1/28/2007
16382,445,1,481,2.99,1/27/2007
16383,445,1,960,2.99,1/30/2007
16384,446,2,14,0.99,1/24/2007
16385,446,1,236,0.99,1/26/2007
16386,446,1,355,4.99,1/27/2007
16387,447,1,461,2.99,1/27/2007
16388,447,2,732,0.99,1/29/2007
16389,448,1,299,4.99,1/26/2007
16390,448,2,1123,2.99,1/31/2007
16391,449,2,263,4.99,1/26/2007
16392,449,2,325,5.99,1/26/2007
16393,449,1,849,7.99,1/29/2007
16394,450,2,548,3.99,1/28/2007
16395,451,2,77,0.99,1/25/2007
16396,451,2,328,2.99,1/26/2007
16397,451,2,1113,2.99,1/31/2007
16398,452,1,354,2.99,1/27/2007
16399,452,2,714,2.99,1/29/2007
16400,452,1,726,1.99,1/29/2007
16401,454,1,735,7.99,1/29/2007
16402,455,2,115,0.99,1/25/2007
16403,455,2,343,0.99,1/27/2007
16404,456,2,19,4.99,1/24/2007
16405,457,2,1024,7.99,1/31/2007
16406,459,2,2,2.99,1/24/2007
16407,460,1,223,4.99,1/26/2007
16408,460,2,298,0.99,1/26/2007
16409,460,1,880,0.99,1/30/2007
16410,460,2,1064,4.99,1/31/2007
16411,461,1,684,6.99,1/28/2007
16412,462,2,156,2.99,1/25/2007
16413,462,2,590,3.99,1/28/2007
16414,463,1,560,1.99,1/28/2007
16415,464,1,305,3.99,1/26/2007
16416,464,2,373,1.99,1/27/2007
16417,465,2,640,0.99,1/28/2007
16418,466,2,1104,2.99,1/31/2007
16419,467,2,225,4.99,1/26/2007
16420,468,2,101,6.99,1/25/2007
16421,468,1,186,4.99,1/26/2007
16422,468,2,296,6.99,1/26/2007
16423,468,2,459,0.99,1/27/2007
16424,468,1,673,0.99,1/28/2007
16425,469,1,168,0.99,1/26/2007
16426,469,2,506,7.99,1/28/2007
16427,469,2,529,4.99,1/28/2007
16428,469,2,936,1.99,1/30/2007
16429,469,1,1119,2.99,1/31/2007
16430,470,2,60,2.99,1/25/2007
16431,471,1,616,2.99,1/28/2007
16432,472,2,142,0.99,1/25/2007
16433,472,2,249,2.99,1/26/2007
16434,472,2,800,0.99,1/29/2007
16435,472,2,994,4.99,1/30/2007
16436,473,1,348,4.99,1/27/2007
16437,473,2,942,2.99,1/30/2007
16438,473,2,973,3.99,1/30/2007
16439,474,1,816,7.99,1/29/2007
16440,475,2,417,4.99,1/27/2007
16441,475,1,702,0.99,1/29/2007
16442,476,1,489,4.99,1/27/2007
16443,476,1,771,2.99,1/29/2007
16444,477,1,882,2.99,1/30/2007
16445,479,2,132,3.99,1/25/2007
16446,479,1,709,7.99,1/29/2007
16447,480,1,518,0.99,1/28/2007
16448,480,1,720,6.99,1/29/2007
16449,480,2,822,9.99,1/29/2007
16450,481,2,1109,5.99,1/31/2007
16451,482,1,259,8.99,1/26/2007
16452,482,2,680,2.99,1/28/2007
16453,482,2,879,0.99,1/30/2007
16454,483,2,742,6.99,1/29/2007
16455,484,2,35,4.99,1/25/2007
16456,484,2,668,2.99,1/28/2007
16457,484,2,727,2.99,1/29/2007
16458,485,1,1009,2.99,1/31/2007
16459,486,1,909,8.99,1/30/2007
16460,486,2,946,2.99,1/30/2007
16461,486,2,1129,0.99,1/31/2007
16462,489,1,219,4.99,1/26/2007
16463,489,2,513,2.99,1/28/2007
16464,490,2,585,6.99,1/28/2007
16465,490,2,676,4.99,1/28/2007
16466,491,1,484,2.99,1/27/2007
16467,491,2,1097,0.99,1/31/2007
16468,492,1,84,2.99,1/25/2007
16469,493,1,543,7.99,1/28/2007
16470,494,1,608,4.99,1/28/2007
16471,495,2,623,4.99,1/28/2007
16472,495,2,741,4.99,1/29/2007
16473,496,2,322,4.99,1/26/2007
16474,496,2,966,0.99,1/30/2007
16475,497,1,1100,7.99,1/31/2007
16476,498,2,49,2.99,1/25/2007
16477,498,1,429,8.99,1/27/2007
16478,498,2,718,2.99,1/29/2007
16479,499,2,89,2.99,1/25/2007
16480,500,1,112,8.99,1/25/2007
16481,500,1,389,8.99,1/27/2007
16482,500,1,610,0.99,1/28/2007
16483,501,1,493,0.99,1/27/2007
16484,501,1,605,1.99,1/28/2007
16485,502,2,258,2.99,1/26/2007
16486,502,1,861,0.99,1/30/2007
16487,502,1,893,2.99,1/30/2007
16488,502,2,965,0.99,1/30/2007
16489,503,2,109,1.99,1/25/2007
16490,503,1,353,5.99,1/27/2007
16491,503,1,631,2.99,1/28/2007
16492,503,1,1074,4.99,1/31/2007
16493,504,2,136,5.99,1/25/2007
16494,504,2,470,4.99,1/27/2007
16495,504,1,838,4.99,1/29/2007
16496,505,1,159,2.99,1/26/2007
16497,505,1,645,2.99,1/28/2007
16498,506,1,114,3.99,1/25/2007
16499,506,2,387,2.99,1/27/2007
16500,506,2,410,3.99,1/27/2007
16501,506,1,547,8.99,1/28/2007
16502,506,2,907,0.99,1/30/2007
16503,506,1,1042,2.99,1/31/2007
16504,506,2,1153,4.99,1/31/2007
16505,507,1,52,0.99,1/25/2007
16506,507,2,713,4.99,1/29/2007
16507,508,1,369,2.99,1/27/2007
16508,508,2,921,2.99,1/30/2007
16509,509,1,22,4.99,1/25/2007
16510,509,1,831,8.99,1/29/2007
16511,510,1,75,8.99,1/25/2007
16512,510,1,372,5.99,1/27/2007
16513,510,2,1118,4.99,1/31/2007
16514,511,1,56,2.99,1/25/2007
16515,511,1,819,3.99,1/29/2007
16516,513,2,993,4.99,1/30/2007
16517,514,2,536,4.99,1/28/2007
16518,515,2,187,8.99,1/26/2007
16519,515,2,292,6.99,1/26/2007
16520,516,2,339,3.99,1/27/2007
16521,516,1,571,1.99,1/28/2007
16522,517,2,850,4.99,1/30/2007
16523,518,1,710,2.99,1/29/2007
16524,519,1,1056,3.99,1/31/2007
16525,520,1,962,6.99,1/30/2007
16526,522,2,426,5.99,1/27/2007
16527,523,1,42,4.99,1/25/2007
16528,523,2,664,0.99,1/28/2007
16529,524,2,118,0.99,1/25/2007
16530,524,1,982,4.99,1/30/2007
16531,525,1,437,5.99,1/27/2007
16532,526,1,495,4.99,1/27/2007
16533,526,2,679,4.99,1/28/2007
16534,526,2,1015,2.99,1/31/2007
16535,528,1,204,0.99,1/26/2007
16536,528,2,472,0.99,1/27/2007
16537,528,1,533,5.99,1/28/2007
16538,528,2,695,3.99,1/29/2007
16539,528,2,793,5.99,1/29/2007
16540,529,1,453,2.99,1/27/2007
16541,530,1,851,0.99,1/30/2007
16542,531,1,233,4.99,1/26/2007
16543,531,1,681,2.99,1/28/2007
16544,532,1,43,2.99,1/25/2007
16545,533,1,173,0.99,1/26/2007
16546,533,2,190,1.99,1/26/2007
16547,533,1,615,5.99,1/28/2007
16548,534,2,304,5.99,1/26/2007
16549,534,2,940,0.99,1/30/2007
16550,535,1,37,0.99,1/25/2007
16551,535,2,541,2.99,1/28/2007
16552,535,1,778,3.99,1/29/2007
16553,535,2,959,4.99,1/30/2007
16554,536,1,237,0.99,1/26/2007
16555,536,1,929,6.99,1/30/2007
16556,537,2,603,4.99,1/28/2007
16557,538,2,594,2.99,1/28/2007
16558,538,2,734,4.99,1/29/2007
16559,539,2,250,4.99,1/26/2007
16560,539,1,342,0.99,1/27/2007
16561,541,1,1021,7.99,1/31/2007
16562,541,1,1066,4.99,1/31/2007
16563,542,1,220,4.99,1/26/2007
16564,542,2,376,4.99,1/27/2007
16565,543,1,243,6.99,1/26/2007
16566,543,2,476,1.99,1/27/2007
16567,544,1,397,2.99,1/27/2007
16568,544,1,864,2.99,1/30/2007
16569,545,2,248,0.99,1/26/2007
16570,545,2,715,3.99,1/29/2007
16571,546,1,197,5.99,1/26/2007
16572,546,1,482,6.99,1/27/2007
16573,547,1,306,0.99,1/26/2007
16574,547,2,443,8.99,1/27/2007
16575,547,2,1094,1.99,1/31/2007
16576,548,2,177,6.99,1/26/2007
16577,548,1,743,4.99,1/29/2007
16578,548,2,872,3.99,1/30/2007
16579,549,1,6,0.99,1/24/2007
16580,549,2,852,4.99,1/30/2007
16581,549,1,906,3.99,1/30/2007
16582,549,2,1086,4.99,1/31/2007
16583,550,2,922,7.99,1/30/2007
16584,551,2,155,7.99,1/25/2007
16585,551,1,728,2.99,1/29/2007
16586,551,1,795,0.99,1/29/2007
16587,551,2,969,4.99,1/30/2007
16588,551,2,1005,3.99,1/30/2007
16589,552,2,174,0.99,1/26/2007
16590,553,2,789,4.99,1/29/2007
16591,554,1,607,2.99,1/28/2007
16592,554,1,817,2.99,1/29/2007
16593,556,1,184,0.99,1/26/2007
16594,556,2,772,5.99,1/29/2007
16595,556,1,1083,3.99,1/31/2007
16596,557,2,467,4.99,1/27/2007
16597,557,1,478,4.99,1/27/2007
16598,560,1,137,2.99,1/25/2007
16599,561,1,902,4.99,1/30/2007
16600,561,2,971,4.99,1/30/2007
16601,562,2,788,2.99,1/29/2007
16602,562,1,941,2.99,1/30/2007
16603,562,1,1139,5.99,1/31/2007
16604,563,1,758,4.99,1/29/2007
16605,563,2,773,5.99,1/29/2007
16606,564,2,195,5.99,1/26/2007
16607,564,1,985,2.99,1/30/2007
16608,565,1,458,6.99,1/27/2007
16609,565,1,1004,0.99,1/30/2007
16610,566,2,234,5.99,1/26/2007
16611,566,2,768,4.99,1/29/2007
16612,569,2,53,4.99,1/25/2007
16613,569,1,487,4.99,1/27/2007
16614,569,1,624,4.99,1/28/2007
16615,569,1,647,1.99,1/28/2007
16616,569,2,1037,3.99,1/31/2007
16617,570,2,1060,7.99,1/31/2007
16618,571,1,228,9.99,1/26/2007
16619,571,2,689,3.99,1/28/2007
16620,572,2,559,7.99,1/28/2007
16621,573,2,827,2.99,1/29/2007
16622,574,2,433,0.99,1/27/2007
16623,575,1,17,2.99,1/24/2007
16624,575,1,395,0.99,1/27/2007
16625,575,2,454,4.99,1/27/2007
16626,575,2,769,2.99,1/29/2007
16627,575,1,774,4.99,1/29/2007
16628,576,2,755,2.99,1/29/2007
16629,576,1,968,0.99,1/30/2007
16630,577,2,291,5.99,1/26/2007
16631,578,2,660,0.99,1/28/2007
16632,580,1,611,0.99,1/28/2007
16633,581,1,976,4.99,1/30/2007
16634,581,1,1151,4.99,1/31/2007
16635,582,1,281,0.99,1/26/2007
16636,584,2,379,4.99,1/27/2007
16637,584,1,626,4.99,1/28/2007
16638,584,1,920,4.99,1/30/2007
16639,586,1,138,4.99,1/25/2007
16640,586,1,900,8.99,1/30/2007
16641,587,1,181,4.99,1/26/2007
16642,587,1,361,0.99,1/27/2007
16643,588,1,576,2.99,1/28/2007
16644,588,1,961,4.99,1/30/2007
16645,589,1,531,0.99,1/28/2007
16646,589,1,596,4.99,1/28/2007
16647,589,1,737,4.99,1/29/2007
16648,590,1,602,3.99,1/28/2007
16649,593,1,790,2.99,1/29/2007
16650,593,1,991,8.99,1/30/2007
16651,594,1,313,4.99,1/26/2007
16652,594,1,360,8.99,1/27/2007
16653,594,2,1018,0.99,1/31/2007
16654,594,1,1045,6.99,1/31/2007
16655,595,1,613,6.99,1/28/2007
16656,596,2,303,4.99,1/26/2007
16657,596,2,625,0.99,1/28/2007
16658,596,2,667,4.99,1/28/2007
16659,596,2,782,1.99,1/29/2007
16660,596,1,914,2.99,1/30/2007
16661,596,1,974,6.99,1/30/2007
16662,597,2,34,2.99,1/25/2007
16663,597,2,514,8.99,1/28/2007
16664,599,2,1008,4.99,1/30/2007
16665,203,1,314,0.99,1/26/2007
16666,204,2,251,0.99,1/26/2007
16667,204,2,399,4.99,1/27/2007
16668,204,2,857,4.99,1/30/2007
16669,204,1,1016,1.99,1/31/2007
16670,207,1,39,0.99,1/25/2007
16671,207,1,44,0.99,1/25/2007
16672,207,1,659,0.99,1/28/2007
16673,207,2,826,6.99,1/29/2007
16674,207,2,896,3.99,1/30/2007
16675,207,2,1144,3.99,1/31/2007
16676,208,1,100,4.99,1/25/2007
16677,1,1,76,2.99,1/25/2007
16678,1,1,573,0.99,1/28/2007
16679,2,1,320,4.99,1/26/2007
16680,3,1,435,1.99,1/27/2007
16681,3,1,830,2.99,1/29/2007
16682,5,1,731,0.99,1/29/2007
16683,5,1,1085,6.99,1/31/2007
16684,5,1,1142,1.99,1/31/2007
16685,6,2,57,4.99,1/25/2007
16686,6,1,577,2.99,1/28/2007
16687,6,2,916,0.99,1/30/2007
16688,7,2,46,5.99,1/25/2007
16689,7,2,117,0.99,1/25/2007
16690,7,2,748,2.99,1/29/2007
16691,7,1,975,4.99,1/30/2007
16692,7,1,1063,5.99,1/31/2007
16693,8,2,866,6.99,1/30/2007
16694,9,2,350,4.99,1/27/2007
16695,9,2,877,0.99,1/30/2007
16696,9,2,1075,4.99,1/31/2007
16697,10,2,1140,4.99,1/31/2007
16698,11,1,987,6.99,1/30/2007
16699,12,1,988,4.99,1/30/2007
16700,12,1,1084,4.99,1/31/2007
16701,14,1,151,0.99,1/25/2007
16702,14,1,346,9.99,1/27/2007
16703,14,1,525,5.99,1/28/2007
16704,14,1,671,2.99,1/28/2007
16705,14,2,815,0.99,1/29/2007
16706,16,1,335,3.99,1/27/2007
16707,16,1,593,2.99,1/28/2007
16708,16,2,887,0.99,1/30/2007
16709,16,1,1017,2.99,1/31/2007
16710,17,2,287,2.99,1/26/2007
16711,17,1,580,2.99,1/28/2007
16712,17,2,884,4.99,1/30/2007
16713,18,1,50,2.99,1/25/2007
16714,18,1,116,4.99,1/25/2007
16715,18,1,692,4.99,1/29/2007
16716,19,2,18,0.99,1/24/2007
16717,19,2,110,9.99,1/25/2007
16718,19,1,179,6.99,1/26/2007
16719,19,1,337,2.99,1/27/2007
16720,19,2,591,2.99,1/28/2007
16721,19,2,696,2.99,1/29/2007
16722,20,2,202,2.99,1/26/2007
16723,20,2,497,6.99,1/27/2007
16724,20,2,546,1.99,1/28/2007
16725,21,1,260,3.99,1/26/2007
16726,21,2,463,3.99,1/27/2007
16727,21,1,570,0.99,1/28/2007
16728,22,1,370,4.99,1/27/2007
16729,22,1,556,4.99,1/28/2007
16730,22,2,820,8.99,1/29/2007
16731,23,1,129,8.99,1/25/2007
16732,23,1,654,2.99,1/28/2007
16733,23,2,1090,0.99,1/31/2007
16734,24,2,1007,6.99,1/30/2007
16735,24,2,1077,2.99,1/31/2007
16736,25,1,90,7.99,1/25/2007
16737,25,2,1033,2.99,1/31/2007
16738,26,1,796,2.99,1/29/2007
16739,26,2,1105,2.99,1/31/2007
16740,27,2,787,2.99,1/29/2007
