Id thuê,Ngày thuê,Id tài s?n,Id khách hàng,Ngày tr?,Id nhân viên,C?p nh?t cu?i cùng
168,5/26/2005,2714,469,6/2/2005,2,2/16/2006
169,5/26/2005,1758,381,5/27/2005,2,2/16/2006
170,5/26/2005,3688,107,6/2/2005,1,2/16/2006
171,5/26/2005,4483,400,6/3/2005,2,2/16/2006
172,5/26/2005,2873,176,5/29/2005,2,2/16/2006
173,5/26/2005,3596,533,5/28/2005,2,2/16/2006
174,5/26/2005,3954,552,5/28/2005,2,2/16/2006
175,5/26/2005,4346,47,6/3/2005,2,2/16/2006
176,5/26/2005,851,250,6/1/2005,2,2/16/2006
177,5/26/2005,3545,548,6/1/2005,2,2/16/2006
178,5/26/2005,1489,196,6/4/2005,2,2/16/2006
179,5/26/2005,2575,19,6/3/2005,1,2/16/2006
180,5/26/2005,2752,75,6/1/2005,1,2/16/2006
181,5/26/2005,2417,587,5/29/2005,2,2/16/2006
182,5/26/2005,4396,237,6/1/2005,2,2/16/2006
183,5/26/2005,2877,254,6/1/2005,1,2/16/2006
184,5/26/2005,1970,556,5/28/2005,1,2/16/2006
185,5/26/2005,2598,125,6/2/2005,2,2/16/2006
186,5/26/2005,1799,468,6/3/2005,2,2/16/2006
187,5/26/2005,4004,515,6/4/2005,1,2/16/2006
188,5/26/2005,3342,243,5/26/2005,1,2/16/2006
189,5/26/2005,984,247,5/27/2005,1,2/16/2006
190,5/26/2005,3962,533,6/1/2005,1,2/16/2006
191,5/26/2005,4365,412,5/28/2005,1,2/16/2006
192,5/26/2005,1897,437,6/2/2005,1,2/16/2006
193,5/26/2005,3900,270,5/30/2005,2,2/16/2006
194,5/26/2005,1337,29,5/30/2005,2,2/16/2006
195,5/26/2005,506,564,5/31/2005,2,2/16/2006
196,5/26/2005,190,184,5/27/2005,1,2/16/2006
197,5/26/2005,4212,546,6/3/2005,2,2/16/2006
198,5/26/2005,1789,54,6/4/2005,1,2/16/2006
199,5/26/2005,2135,71,5/28/2005,1,2/16/2006
200,5/26/2005,3926,321,5/31/2005,1,2/16/2006
201,5/26/2005,776,444,6/4/2005,2,2/16/2006
202,5/26/2005,674,20,6/2/2005,1,2/16/2006
203,5/26/2005,3374,109,6/3/2005,1,2/16/2006
204,5/26/2005,1842,528,5/30/2005,1,2/16/2006
205,5/26/2005,303,114,5/29/2005,2,2/16/2006
206,5/26/2005,1717,345,5/27/2005,1,2/16/2006
207,5/26/2005,102,47,5/27/2005,2,2/16/2006
208,5/26/2005,3669,274,5/27/2005,1,2/16/2006
209,5/26/2005,729,379,5/27/2005,1,2/16/2006
210,5/26/2005,1801,391,5/27/2005,2,2/16/2006
211,5/26/2005,4005,170,5/28/2005,1,2/16/2006
212,5/26/2005,764,59,5/30/2005,2,2/16/2006
213,5/26/2005,1505,394,5/31/2005,2,2/16/2006
214,5/26/2005,1453,98,5/31/2005,2,2/16/2006
215,5/26/2005,679,197,5/28/2005,2,2/16/2006
216,5/26/2005,1398,91,6/3/2005,1,2/16/2006
217,5/26/2005,4395,121,5/31/2005,2,2/16/2006
218,5/26/2005,2291,309,6/4/2005,2,2/16/2006
219,5/26/2005,3074,489,5/28/2005,1,2/16/2006
220,5/26/2005,1259,542,6/1/2005,1,2/16/2006
221,5/26/2005,3578,143,5/29/2005,1,2/16/2006
222,5/26/2005,2745,83,5/31/2005,2,2/16/2006
223,5/26/2005,3121,460,5/30/2005,1,2/16/2006
224,5/26/2005,4285,318,6/4/2005,1,2/16/2006
225,5/26/2005,651,467,6/1/2005,2,2/16/2006
226,5/26/2005,4181,221,5/31/2005,2,2/16/2006
227,5/26/2005,214,301,5/30/2005,1,2/16/2006
228,5/26/2005,511,571,6/4/2005,1,2/16/2006
229,5/26/2005,1131,312,5/31/2005,2,2/16/2006
230,5/26/2005,1085,58,5/30/2005,1,2/16/2006
231,5/26/2005,4032,365,5/27/2005,1,2/16/2006
232,5/26/2005,2945,256,5/27/2005,2,2/16/2006
233,5/26/2005,715,531,5/28/2005,2,2/16/2006
234,5/26/2005,1321,566,6/3/2005,2,2/16/2006
235,5/26/2005,3537,119,6/4/2005,1,2/16/2006
236,5/26/2005,1265,446,5/28/2005,1,2/16/2006
237,5/26/2005,241,536,5/29/2005,1,2/16/2006
238,5/26/2005,503,211,5/27/2005,1,2/16/2006
239,5/26/2005,131,49,6/1/2005,2,2/16/2006
240,5/26/2005,3420,103,6/4/2005,1,2/16/2006
241,5/26/2005,4438,245,5/28/2005,2,2/16/2006
242,5/26/2005,2095,214,6/2/2005,1,2/16/2006
243,5/26/2005,1721,543,6/3/2005,2,2/16/2006
244,5/26/2005,1041,257,5/31/2005,1,2/16/2006
245,5/26/2005,3045,158,5/27/2005,2,2/16/2006
246,5/26/2005,2829,240,5/29/2005,2,2/16/2006
247,5/26/2005,4095,102,5/28/2005,2,2/16/2006
248,5/26/2005,1913,545,5/31/2005,2,2/16/2006
249,5/26/2005,2428,472,5/28/2005,2,2/16/2006
250,5/26/2005,368,539,5/27/2005,1,2/16/2006
251,5/26/2005,4352,204,5/29/2005,1,2/16/2006
252,5/26/2005,1203,187,6/2/2005,1,2/16/2006
253,5/26/2005,2969,416,5/27/2005,1,2/16/2006
254,5/26/2005,1835,390,5/31/2005,2,2/16/2006
255,5/26/2005,3264,114,5/27/2005,1,2/16/2006
256,5/26/2005,3194,436,5/31/2005,1,2/16/2006
257,5/26/2005,2570,373,5/29/2005,2,2/16/2006
258,5/26/2005,3534,502,5/30/2005,2,2/16/2006
259,5/26/2005,30,482,6/4/2005,2,2/16/2006
260,5/26/2005,435,21,5/31/2005,2,2/16/2006
261,5/26/2005,1369,414,6/2/2005,2,2/16/2006
262,5/26/2005,4261,236,5/28/2005,2,2/16/2006
263,5/26/2005,1160,449,5/30/2005,2,2/16/2006
264,5/26/2005,2069,251,5/27/2005,2,2/16/2006
265,5/26/2005,2276,303,6/1/2005,1,2/16/2006
266,5/26/2005,3303,263,5/27/2005,2,2/16/2006
267,5/26/2005,1206,417,5/30/2005,2,2/16/2006
268,5/26/2005,1714,75,5/27/2005,1,2/16/2006
269,5/26/2005,3501,322,5/27/2005,2,2/16/2006
270,5/26/2005,207,200,6/3/2005,2,2/16/2006
271,5/26/2005,2388,92,6/3/2005,2,2/16/2006
272,5/26/2005,971,71,6/3/2005,2,2/16/2006
273,5/26/2005,1590,193,5/29/2005,2,2/16/2006
274,5/26/2005,656,311,6/3/2005,1,2/16/2006
275,5/26/2005,1718,133,6/4/2005,1,2/16/2006
276,5/26/2005,1221,58,6/3/2005,1,2/16/2006
277,5/26/2005,1409,45,5/28/2005,1,2/16/2006
278,5/26/2005,182,214,6/2/2005,2,2/16/2006
279,5/26/2005,661,384,6/3/2005,2,2/16/2006
280,5/26/2005,1896,167,5/27/2005,1,2/16/2006
281,5/26/2005,1208,582,5/27/2005,2,2/16/2006
282,5/26/2005,4486,282,6/1/2005,2,2/16/2006
283,5/26/2005,3530,242,5/31/2005,1,2/16/2006
284,5/26/2005,350,359,6/4/2005,2,2/16/2006
285,5/26/2005,2486,162,5/31/2005,2,2/16/2006
286,5/26/2005,314,371,6/4/2005,2,2/16/2006
287,5/26/2005,3631,17,6/2/2005,1,2/16/2006
288,5/26/2005,3546,82,6/3/2005,2,2/16/2006
289,5/26/2005,2449,81,5/28/2005,1,2/16/2006
290,5/26/2005,2776,429,5/30/2005,1,2/16/2006
291,5/26/2005,485,577,6/3/2005,2,2/16/2006
292,5/26/2005,4264,515,6/5/2005,1,2/16/2006
293,5/26/2005,1828,158,6/3/2005,2,2/16/2006
294,5/26/2005,2751,369,5/28/2005,1,2/16/2006
295,5/26/2005,4030,65,5/27/2005,2,2/16/2006
296,5/26/2005,3878,468,6/4/2005,2,2/16/2006
297,5/26/2005,1594,48,5/27/2005,2,2/16/2006
298,5/26/2005,1083,460,5/29/2005,2,2/16/2006
299,5/26/2005,4376,448,5/28/2005,2,2/16/2006
300,5/26/2005,249,47,6/5/2005,2,2/16/2006
301,5/26/2005,3448,274,6/1/2005,2,2/16/2006
302,5/26/2005,2921,387,6/3/2005,2,2/16/2006
303,5/26/2005,1111,596,5/27/2005,2,2/16/2006
304,5/26/2005,1701,534,6/2/2005,1,2/16/2006
305,5/26/2005,2665,464,6/2/2005,2,2/16/2006
306,5/26/2005,2781,547,5/28/2005,1,2/16/2006
307,5/26/2005,1097,375,6/4/2005,1,2/16/2006
308,5/26/2005,187,277,6/4/2005,2,2/16/2006
309,5/26/2005,1946,251,6/2/2005,2,2/16/2006
310,5/26/2005,593,409,6/2/2005,1,2/16/2006
311,5/26/2005,2830,201,6/1/2005,1,2/16/2006
312,5/26/2005,2008,143,6/2/2005,2,2/16/2006
313,5/26/2005,4156,594,5/29/2005,2,2/16/2006
314,5/26/2005,2851,203,5/28/2005,2,2/16/2006
315,5/26/2005,2847,238,5/29/2005,1,2/16/2006
316,5/26/2005,3828,249,5/29/2005,2,2/16/2006
317,5/26/2005,26,391,6/1/2005,2,2/16/2006
318,5/26/2005,2559,60,6/3/2005,2,2/16/2006
319,5/26/2005,3024,77,5/30/2005,1,2/16/2006
320,5/27/2005,1090,2,5/28/2005,2,2/16/2006
322,5/27/2005,4556,496,6/2/2005,1,2/16/2006
323,5/27/2005,2362,144,5/30/2005,1,2/16/2006
324,5/27/2005,3364,292,5/30/2005,1,2/16/2006
325,5/27/2005,2510,449,5/31/2005,2,2/16/2006
326,5/27/2005,3979,432,6/4/2005,2,2/16/2006
327,5/27/2005,2678,105,6/4/2005,1,2/16/2006
328,5/27/2005,2524,451,6/1/2005,1,2/16/2006
329,5/27/2005,2659,231,5/31/2005,2,2/16/2006
330,5/27/2005,1536,248,6/4/2005,2,2/16/2006
331,5/27/2005,1872,67,6/5/2005,1,2/16/2006
332,5/27/2005,1529,299,6/3/2005,2,2/16/2006
333,5/27/2005,4001,412,6/1/2005,2,2/16/2006
334,5/27/2005,3973,194,5/29/2005,1,2/16/2006
335,5/27/2005,1411,16,6/5/2005,2,2/16/2006
336,5/27/2005,1811,275,5/29/2005,1,2/16/2006
337,5/27/2005,751,19,6/2/2005,1,2/16/2006
338,5/27/2005,2596,165,6/1/2005,2,2/16/2006
339,5/27/2005,2410,516,6/4/2005,2,2/16/2006
340,5/27/2005,946,209,6/4/2005,2,2/16/2006
341,5/27/2005,4168,56,6/5/2005,1,2/16/2006
342,5/27/2005,4019,539,5/29/2005,2,2/16/2006
343,5/27/2005,3301,455,5/28/2005,1,2/16/2006
344,5/27/2005,2327,236,5/29/2005,2,2/16/2006
345,5/27/2005,1396,144,5/31/2005,1,2/16/2006
346,5/27/2005,4319,14,6/5/2005,2,2/16/2006
347,5/27/2005,1625,378,5/28/2005,2,2/16/2006
348,5/27/2005,1825,473,6/1/2005,1,2/16/2006
349,5/27/2005,2920,36,5/28/2005,2,2/16/2006
350,5/27/2005,2756,9,6/4/2005,2,2/16/2006
351,5/27/2005,3371,118,6/1/2005,1,2/16/2006
352,5/27/2005,4369,157,5/29/2005,1,2/16/2006
353,5/27/2005,3989,503,6/3/2005,2,2/16/2006
354,5/27/2005,2058,452,6/1/2005,1,2/16/2006
355,5/27/2005,141,446,6/1/2005,2,2/16/2006
356,5/27/2005,2868,382,5/30/2005,2,2/16/2006
357,5/27/2005,4417,198,5/30/2005,2,2/16/2006
358,5/27/2005,1925,102,5/29/2005,2,2/16/2006
359,5/27/2005,1156,152,5/29/2005,1,2/16/2006
360,5/27/2005,3489,594,6/3/2005,1,2/16/2006
361,5/27/2005,6,587,5/31/2005,1,2/16/2006
362,5/27/2005,2324,147,6/1/2005,1,2/16/2006
363,5/27/2005,4282,345,5/28/2005,2,2/16/2006
364,5/27/2005,833,430,5/31/2005,2,2/16/2006
365,5/27/2005,2887,167,6/4/2005,1,2/16/2006
366,5/27/2005,360,134,6/4/2005,2,2/16/2006
367,5/27/2005,3437,439,5/30/2005,2,2/16/2006
368,5/27/2005,1247,361,6/4/2005,2,2/16/2006
369,5/27/2005,944,508,6/1/2005,2,2/16/2006
370,5/27/2005,3347,22,6/5/2005,2,2/16/2006
371,5/27/2005,1235,295,6/5/2005,2,2/16/2006
372,5/27/2005,4089,510,6/4/2005,2,2/16/2006
373,5/27/2005,1649,464,6/1/2005,1,2/16/2006
374,5/27/2005,4420,337,6/5/2005,1,2/16/2006
375,5/27/2005,1815,306,6/4/2005,1,2/16/2006
376,5/27/2005,3197,542,6/2/2005,1,2/16/2006
377,5/27/2005,3012,170,6/2/2005,2,2/16/2006
378,5/27/2005,2242,53,5/29/2005,1,2/16/2006
379,5/27/2005,3462,584,6/2/2005,1,2/16/2006
380,5/27/2005,1777,176,6/4/2005,1,2/16/2006
381,5/27/2005,2748,371,5/31/2005,1,2/16/2006
382,5/27/2005,4358,183,5/31/2005,1,2/16/2006
383,5/27/2005,955,298,6/3/2005,1,2/16/2006
384,5/27/2005,910,371,6/2/2005,2,2/16/2006
385,5/27/2005,1565,213,5/30/2005,2,2/16/2006
386,5/27/2005,1288,109,5/30/2005,1,2/16/2006
387,5/27/2005,2684,506,6/1/2005,2,2/16/2006
388,5/27/2005,434,28,5/30/2005,1,2/16/2006
389,5/27/2005,691,500,6/5/2005,2,2/16/2006
390,5/27/2005,3759,48,6/2/2005,2,2/16/2006
391,5/27/2005,2193,197,6/1/2005,2,2/16/2006
392,5/27/2005,263,359,6/1/2005,2,2/16/2006
393,5/27/2005,145,251,5/28/2005,2,2/16/2006
394,5/27/2005,1890,274,6/3/2005,2,2/16/2006
395,5/27/2005,752,575,5/31/2005,1,2/16/2006
396,5/27/2005,1020,112,5/29/2005,1,2/16/2006
397,5/27/2005,4193,544,5/28/2005,2,2/16/2006
398,5/27/2005,1686,422,6/2/2005,1,2/16/2006
399,5/27/2005,553,204,5/29/2005,1,2/16/2006
400,5/27/2005,258,249,5/31/2005,2,2/16/2006
401,5/27/2005,2179,46,5/29/2005,2,2/16/2006
402,5/27/2005,461,354,5/30/2005,2,2/16/2006
403,5/27/2005,3983,424,5/29/2005,2,2/16/2006
404,5/27/2005,1293,168,5/30/2005,1,2/16/2006
405,5/27/2005,4090,272,6/5/2005,2,2/16/2006
406,5/27/2005,2136,381,5/30/2005,1,2/16/2006
407,5/27/2005,1077,44,5/31/2005,1,2/16/2006
408,5/27/2005,1438,84,5/28/2005,1,2/16/2006
409,5/27/2005,3652,220,6/2/2005,2,2/16/2006
410,5/27/2005,4010,506,6/2/2005,2,2/16/2006
411,5/27/2005,1434,388,6/3/2005,1,2/16/2006
412,5/27/2005,1400,375,5/29/2005,2,2/16/2006
413,5/27/2005,3516,307,6/3/2005,1,2/16/2006
414,5/27/2005,1019,219,5/31/2005,2,2/16/2006
415,5/27/2005,3698,304,5/28/2005,2,2/16/2006
416,5/27/2005,2371,222,5/29/2005,2,2/16/2006
417,5/27/2005,2253,475,5/29/2005,2,2/16/2006
418,5/27/2005,3063,151,6/4/2005,2,2/16/2006
419,5/27/2005,2514,77,6/2/2005,1,2/16/2006
420,5/27/2005,619,93,6/3/2005,2,2/16/2006
421,5/27/2005,2985,246,6/4/2005,2,2/16/2006
422,5/27/2005,1152,150,6/1/2005,2,2/16/2006
423,5/27/2005,1783,284,6/2/2005,1,2/16/2006
424,5/27/2005,2815,35,6/5/2005,1,2/16/2006
425,5/27/2005,1518,182,6/3/2005,2,2/16/2006
426,5/27/2005,1103,522,6/5/2005,1,2/16/2006
427,5/27/2005,1677,288,6/5/2005,2,2/16/2006
428,5/27/2005,3349,161,5/31/2005,2,2/16/2006
429,5/27/2005,129,498,6/5/2005,2,2/16/2006
430,5/27/2005,1920,190,6/5/2005,1,2/16/2006
431,5/27/2005,4507,334,6/5/2005,1,2/16/2006
432,5/27/2005,1119,46,5/29/2005,1,2/16/2006
433,5/27/2005,4364,574,5/30/2005,2,2/16/2006
434,5/27/2005,3360,246,6/4/2005,1,2/16/2006
435,5/27/2005,3328,3,6/2/2005,2,2/16/2006
436,5/27/2005,4317,267,5/30/2005,2,2/16/2006
437,5/27/2005,1800,525,6/5/2005,2,2/16/2006
438,5/27/2005,4260,249,6/5/2005,2,2/16/2006
439,5/27/2005,354,319,6/2/2005,2,2/16/2006
440,5/27/2005,4452,314,5/29/2005,1,2/16/2006
441,5/27/2005,1578,54,5/30/2005,1,2/16/2006
442,5/27/2005,1457,403,5/30/2005,2,2/16/2006
443,5/27/2005,2021,547,6/4/2005,1,2/16/2006
444,5/27/2005,723,239,6/1/2005,1,2/16/2006
445,5/27/2005,1757,293,5/30/2005,2,2/16/2006
446,5/27/2005,1955,401,6/3/2005,2,2/16/2006
447,5/27/2005,3890,133,6/5/2005,1,2/16/2006
448,5/27/2005,2671,247,6/3/2005,2,2/16/2006
449,5/27/2005,2469,172,6/4/2005,2,2/16/2006
450,5/27/2005,1343,247,6/5/2005,1,2/16/2006
451,5/27/2005,205,87,5/29/2005,2,2/16/2006
452,5/27/2005,2993,127,5/30/2005,2,2/16/2006
453,5/27/2005,4425,529,5/29/2005,1,2/16/2006
454,5/27/2005,3499,575,5/30/2005,1,2/16/2006
455,5/27/2005,3344,343,6/4/2005,2,2/16/2006
456,5/27/2005,1699,92,6/2/2005,1,2/16/2006
457,5/27/2005,2368,300,6/2/2005,2,2/16/2006
458,5/27/2005,3350,565,6/6/2005,1,2/16/2006
459,5/27/2005,597,468,5/29/2005,1,2/16/2006
460,5/27/2005,4238,240,5/28/2005,1,2/16/2006
461,5/27/2005,2077,447,6/1/2005,1,2/16/2006
462,5/27/2005,2314,364,6/3/2005,2,2/16/2006
463,5/27/2005,826,21,6/4/2005,1,2/16/2006
464,5/27/2005,1313,193,5/30/2005,2,2/16/2006
465,5/27/2005,20,261,6/2/2005,1,2/16/2006
466,5/27/2005,1786,442,5/29/2005,1,2/16/2006
467,5/27/2005,339,557,6/1/2005,1,2/16/2006
